,House ID,bathrooms,bedrooms,blessings,builder,capital_distance,dateb,dining_rooms,dock_distance,farm,garden,holy_tree,king_visited,knights_house_distance,location,market_distance,renovation,river_distance,sorceror_cursed,tower_distance
1026,1848889393.0,3.0,2.0,96.0,8.0,63.936036,-1.0,3.0,105.449712,1.0,0.0,1.0,0.0,74.374435,-1.0,25.687517,-1.0,32.971288,1.0,124.65638
6147,1848889399.0,2.0,4.0,143.0,3.0,16.64888,-1.0,2.0,10.028074,2.0,0.0,1.0,0.0,26.829076,3.0,-1.0,1.0,53.604283,1.0,148.90642
1040,1848889405.0,3.0,3.0,151.0,6.0,8.799759,-1.0,-1.0,46.697442,1.0,-1.0,1.0,0.0,19.695117,4.0,33.37457,0.0,7.347228,-1.0,118.027166
6148,1848889411.0,3.0,2.0,151.0,3.0,8.831161,-1.0,2.0,9.797009,2.0,0.0,-1.0,0.0,19.754366,3.0,9.624204,-1.0,24.799455,1.0,123.956946
965,1848889413.0,2.0,3.0,127.0,5.0,32.903303,-1.0,3.0,51.3719,1.0,-1.0,1.0,0.0,43.394001,3.0,-1.0,1.0,5.552861,1.0,86.886693
6149,1848889417.0,2.0,2.0,108.0,3.0,51.848417,-1.0,4.0,29.824765,1.0,0.0,0.0,0.0,62.725473,-1.0,23.007202,0.0,20.721687,0.0,63.369694
6150,1848889421.0,2.0,2.0,113.0,3.0,47.098394,-1.0,2.0,31.737892,1.0,0.0,1.0,0.0,57.670889,3.0,41.647926,0.0,1.551319,1.0,76.754042
1074,1848889425.0,4.0,2.0,94.0,1.0,66.36172,-1.0,3.0,13.943795,1.0,0.0,1.0,0.0,76.513349,-1.0,17.472071,0.0,78.604543,1.0,54.192768
6151,1848889427.0,3.0,3.0,90.0,3.0,69.996626,-1.0,2.0,23.340074,1.0,0.0,1.0,0.0,80.100069,3.0,144.284363,0.0,36.137882,1.0,19.646201
6152,1848889429.0,3.0,3.0,78.0,3.0,81.504617,-1.0,2.0,24.864534,1.0,0.0,-1.0,0.0,91.716362,3.0,7.256853,0.0,4.489005,1.0,87.784779
1148,1848889435.0,3.0,2.0,89.0,-1.0,70.629417,-1.0,4.0,56.076117,0.0,1.0,-1.0,1.0,80.703305,1.0,23.505534,0.0,34.602744,1.0,112.628583
1041,1848889439.0,2.0,4.0,68.0,6.0,92.062769,-1.0,-1.0,75.526194,2.0,0.0,1.0,0.0,102.206664,2.0,17.502729,-1.0,8.725384,0.0,27.60508
6153,1848889442.0,2.0,4.0,131.0,3.0,28.979986,-1.0,2.0,28.099981,2.0,0.0,1.0,0.0,39.791477,2.0,9.631617,0.0,76.731214,1.0,70.14495
1042,1848889445.0,4.0,4.0,156.0,6.0,3.568472,-1.0,2.0,67.129268,2.0,0.0,1.0,0.0,14.462565,4.0,21.059359,1.0,6.367398,1.0,103.032488
6154,1848889447.0,4.0,2.0,137.0,3.0,22.968255,-1.0,4.0,83.371135,1.0,0.0,1.0,0.0,33.203494,3.0,114.625375,0.0,16.42052,1.0,45.847144
6155,1848889451.0,3.0,2.0,153.0,3.0,6.760461,-1.0,-1.0,66.589529,1.0,0.0,-1.0,0.0,17.548513,3.0,139.326791,0.0,17.13241,1.0,84.306716
1027,1848889457.0,3.0,3.0,144.0,8.0,15.798607,-1.0,2.0,74.87872,1.0,0.0,1.0,0.0,26.498172,4.0,10.766266,0.0,32.40384,1.0,146.599966
6156,1848889461.0,4.0,4.0,92.0,3.0,68.0946,-1.0,-1.0,42.857214,1.0,0.0,1.0,0.0,78.868833,3.0,57.524676,0.0,38.351776,1.0,105.024039
6157,1848889466.0,4.0,4.0,113.0,3.0,46.999723,-1.0,2.0,45.061398,2.0,0.0,1.0,0.0,57.954134,3.0,29.026486,1.0,24.80413,1.0,92.578404
1060,1848889472.0,2.0,4.0,44.0,9.0,115.810277,-1.0,4.0,-1.0,1.0,0.0,1.0,0.0,126.743805,2.0,5.413229,0.0,9.849196,1.0,39.648352
1032,1848889475.0,4.0,3.0,140.0,7.0,20.222058,-1.0,3.0,73.103612,1.0,0.0,-1.0,0.0,31.036231,2.0,34.296307,0.0,40.821637,-1.0,142.661669
1149,1848889481.0,4.0,3.0,94.0,-1.0,66.124309,-1.0,3.0,69.529218,1.0,0.0,1.0,0.0,76.405247,4.0,105.757839,0.0,3.224149,1.0,-1.0
966,1848889483.0,2.0,3.0,135.0,5.0,25.492765,-1.0,2.0,13.084063,2.0,0.0,1.0,0.0,35.509097,3.0,54.429163,-1.0,18.511897,1.0,7.112783
1150,1848889486.0,4.0,3.0,102.0,-1.0,58.394792,-1.0,2.0,29.152561,1.0,0.0,0.0,0.0,69.309272,1.0,61.857066,1.0,17.812789,0.0,184.127814
6158,1848889488.0,3.0,3.0,109.0,3.0,50.568547,-1.0,3.0,16.84755,2.0,0.0,1.0,0.0,60.614424,1.0,25.491232,0.0,30.543422,1.0,126.579004
6159,1848889493.0,3.0,3.0,131.0,3.0,29.227731,-1.0,4.0,41.181731,1.0,0.0,-1.0,0.0,39.894789,3.0,4.880599,0.0,6.813766,1.0,39.739817
1151,1848889496.0,4.0,4.0,106.0,-1.0,54.402679,-1.0,3.0,115.681407,2.0,0.0,1.0,0.0,65.003227,2.0,131.142988,0.0,10.409406,1.0,44.79797
6160,1848889498.0,2.0,3.0,71.0,3.0,89.446373,-1.0,4.0,40.225329,2.0,0.0,1.0,0.0,100.049111,1.0,28.691723,0.0,45.807497,1.0,128.964924
1061,1848889501.0,4.0,3.0,136.0,9.0,24.281135,-1.0,3.0,37.629461,1.0,0.0,1.0,0.0,34.798387,4.0,52.639611,-1.0,50.30538,1.0,71.211312
1034,1848889504.0,3.0,3.0,144.0,2.0,16.248239,-1.0,2.0,114.282438,1.0,-1.0,1.0,0.0,26.326298,1.0,-1.0,0.0,56.228522,1.0,6.28929
1033,1848889509.0,3.0,3.0,54.0,7.0,105.82779,-1.0,4.0,58.995143,2.0,0.0,1.0,0.0,116.780022,4.0,68.804718,1.0,68.278216,1.0,26.659689
1028,1848889512.0,4.0,2.0,115.0,8.0,45.424667,-1.0,-1.0,7.908985,1.0,0.0,1.0,0.0,55.851717,3.0,46.586786,1.0,14.2677,1.0,18.517463
1035,1848889516.0,4.0,4.0,133.0,2.0,26.703482,-1.0,4.0,20.008118,1.0,0.0,1.0,0.0,37.238932,1.0,29.257081,0.0,25.065458,1.0,88.512917
1062,1848889521.0,4.0,2.0,128.0,9.0,32.237555,-1.0,4.0,42.812613,1.0,0.0,1.0,0.0,42.772328,1.0,-1.0,-1.0,18.578298,1.0,95.149087
1152,1848889525.0,2.0,2.0,88.0,-1.0,72.210461,-1.0,2.0,36.696411,1.0,0.0,-1.0,0.0,83.032732,3.0,-1.0,1.0,36.91456,1.0,108.171836
1153,1848889530.0,2.0,4.0,152.0,-1.0,7.698308,-1.0,2.0,38.947165,1.0,0.0,1.0,0.0,17.968197,2.0,18.757557,0.0,65.390078,1.0,75.214696
967,1848889532.0,2.0,4.0,91.0,5.0,68.8399,-1.0,2.0,23.99824,1.0,0.0,1.0,0.0,79.095607,2.0,2.352913,0.0,25.040803,1.0,100.1033
6161,1848889538.0,3.0,4.0,132.0,3.0,27.616644,-1.0,2.0,26.261986,2.0,0.0,0.0,0.0,38.04196,-1.0,37.34563,0.0,18.397436,0.0,112.98547
1154,1848889542.0,3.0,2.0,78.0,-1.0,81.710713,-1.0,4.0,19.550573,1.0,0.0,1.0,0.0,91.836533,3.0,12.705826,0.0,11.80233,-1.0,7.13131
1034,1848889548.0,4.0,3.0,155.0,7.0,5.400167,-1.0,3.0,134.108136,2.0,0.0,1.0,0.0,15.98404,3.0,10.790249,-1.0,2.308475,1.0,243.350252
1035,1848889553.0,4.0,2.0,148.0,7.0,11.922081,-1.0,3.0,30.503735,1.0,0.0,-1.0,0.0,22.895095,1.0,88.576843,0.0,7.550665,1.0,66.707833
1155,1848889555.0,2.0,4.0,157.0,-1.0,2.634428,-1.0,3.0,5.393299,1.0,0.0,0.0,0.0,12.860864,4.0,91.599431,0.0,25.604376,0.0,65.635244
1036,1848889557.0,4.0,4.0,135.0,2.0,25.158018,-1.0,4.0,85.556749,1.0,0.0,1.0,0.0,36.002178,2.0,22.384445,1.0,32.657511,1.0,29.281062
1037,1848889559.0,4.0,2.0,45.0,2.0,115.362031,-1.0,4.0,21.199886,1.0,0.0,-1.0,0.0,125.44215,1.0,125.776549,0.0,7.33735,-1.0,172.013588
6162,1848889564.0,4.0,3.0,153.0,3.0,7.35114,-1.0,3.0,52.407601,1.0,0.0,1.0,0.0,17.655605,3.0,49.419284,1.0,28.013973,1.0,30.475065
1075,1848889568.0,2.0,2.0,91.0,1.0,69.493909,-1.0,2.0,54.614026,1.0,0.0,0.0,0.0,79.935506,3.0,51.70236,1.0,4.314068,0.0,175.727267
6163,1848889570.0,4.0,2.0,142.0,3.0,18.304491,-1.0,2.0,28.377996,1.0,0.0,1.0,0.0,28.317635,-1.0,120.698937,0.0,24.422915,1.0,103.790441
1038,1848889572.0,4.0,3.0,144.0,2.0,16.100984,-1.0,2.0,6.603122,0.0,1.0,1.0,1.0,27.001338,4.0,66.490529,1.0,76.013761,1.0,61.110904
979,1848889574.0,2.0,3.0,117.0,4.0,43.059374,-1.0,2.0,93.803691,2.0,0.0,1.0,0.0,53.998023,3.0,43.313498,1.0,11.561926,1.0,141.905865
1036,1848889578.0,3.0,2.0,84.0,7.0,75.831841,-1.0,2.0,-1.0,2.0,0.0,1.0,0.0,85.847118,3.0,40.682798,1.0,14.025596,1.0,78.153722
6164,1848889582.0,2.0,2.0,155.0,3.0,4.886112,-1.0,4.0,79.047565,1.0,-1.0,-1.0,0.0,15.145835,4.0,32.081951,0.0,54.324642,1.0,207.620814
6165,1848889588.0,3.0,4.0,74.0,3.0,-1.0,-1.0,-1.0,72.639833,0.0,1.0,0.0,1.0,-1.0,2.0,38.87736,0.0,31.830754,0.0,116.440115
6166,1848889592.0,4.0,3.0,74.0,3.0,-1.0,-1.0,4.0,36.895206,1.0,-1.0,1.0,0.0,-1.0,3.0,24.415511,1.0,63.415708,1.0,67.665087
6167,1848889597.0,4.0,3.0,147.0,3.0,12.908838,-1.0,4.0,81.465357,0.0,1.0,1.0,1.0,23.132456,3.0,33.940449,0.0,3.774969,1.0,121.852521
995,1848889600.0,3.0,3.0,89.0,0.0,71.266215,-1.0,2.0,65.357275,2.0,0.0,0.0,0.0,81.784667,4.0,41.868925,0.0,26.635761,0.0,117.293554
1043,1848889603.0,3.0,2.0,81.0,6.0,79.218689,-1.0,3.0,1.795562,1.0,-1.0,1.0,0.0,89.536705,3.0,25.983214,1.0,44.735794,-1.0,138.380976
1076,1848889608.0,3.0,2.0,106.0,1.0,53.516658,-1.0,3.0,-1.0,1.0,-1.0,0.0,0.0,64.482333,-1.0,69.358851,1.0,35.269996,0.0,205.988813
1039,1848889611.0,4.0,4.0,148.0,2.0,12.174339,-1.0,3.0,89.529319,1.0,0.0,1.0,0.0,22.225156,4.0,16.215276,0.0,50.750686,1.0,38.863538
6168,1848889616.0,2.0,3.0,95.0,3.0,65.406715,-1.0,2.0,37.902664,1.0,0.0,-1.0,0.0,76.091676,1.0,-1.0,0.0,26.793455,0.0,88.822396
1044,1848889618.0,4.0,2.0,86.0,6.0,73.562218,-1.0,-1.0,-1.0,1.0,0.0,1.0,0.0,83.751029,1.0,100.748759,-1.0,43.136562,1.0,121.985576
6169,1848889623.0,2.0,3.0,148.0,3.0,12.176238,-1.0,4.0,16.766242,1.0,0.0,1.0,0.0,23.100357,2.0,-1.0,0.0,29.133883,1.0,6.920548
1040,1848889628.0,2.0,2.0,160.0,2.0,0.085344,-1.0,4.0,60.289274,1.0,0.0,1.0,0.0,10.970833,3.0,64.930977,1.0,26.320142,1.0,27.051418
996,1848889634.0,2.0,2.0,144.0,0.0,16.226292,-1.0,4.0,127.874014,1.0,-1.0,-1.0,0.0,26.960801,2.0,109.037986,0.0,40.455569,1.0,66.976328
1156,1848889639.0,4.0,3.0,57.0,-1.0,103.418045,-1.0,3.0,37.222251,1.0,0.0,1.0,0.0,114.256597,3.0,60.439496,0.0,9.144599,1.0,74.521115
1029,1848889644.0,3.0,2.0,131.0,8.0,29.054747,-1.0,4.0,32.19154,1.0,0.0,1.0,0.0,39.64652,1.0,56.105555,0.0,21.426996,1.0,123.287635
1041,1848889648.0,3.0,4.0,85.0,2.0,75.173874,-1.0,-1.0,43.012413,1.0,0.0,1.0,0.0,86.164344,4.0,19.525657,0.0,8.910153,1.0,184.643291
6170,1848889654.0,2.0,3.0,155.0,3.0,4.830781,-1.0,3.0,29.527685,2.0,0.0,0.0,0.0,15.075503,3.0,3.985574,0.0,31.377713,0.0,105.039435
1037,1848889658.0,2.0,3.0,140.0,7.0,19.92623,-1.0,3.0,11.887798,1.0,0.0,1.0,0.0,30.624471,4.0,67.07484,1.0,19.741223,1.0,42.994134
980,1848889662.0,2.0,3.0,147.0,4.0,13.153846,-1.0,2.0,13.118018,1.0,0.0,1.0,0.0,23.576082,3.0,51.070502,-1.0,4.062168,-1.0,266.759066
1030,1848889665.0,4.0,3.0,104.0,8.0,56.05333,-1.0,3.0,-1.0,1.0,0.0,1.0,0.0,66.177401,3.0,15.769978,0.0,9.593385,1.0,115.842893
6171,1848889671.0,-1.0,4.0,128.0,3.0,31.97033,-1.0,2.0,49.943173,1.0,0.0,1.0,0.0,42.00605,3.0,-1.0,0.0,22.620425,1.0,90.088389
968,1848889675.0,2.0,2.0,149.0,5.0,10.980305,-1.0,4.0,-1.0,1.0,0.0,-1.0,0.0,21.808934,2.0,33.023107,0.0,35.898829,1.0,64.736741
1042,1848889678.0,3.0,3.0,31.0,2.0,128.651469,-1.0,3.0,15.253254,1.0,-1.0,1.0,0.0,138.726477,2.0,12.860938,1.0,16.916161,1.0,0.428775
6172,1848889681.0,3.0,3.0,64.0,3.0,96.326945,-1.0,2.0,101.591664,1.0,0.0,-1.0,0.0,106.812901,4.0,35.842683,1.0,66.947121,1.0,80.705541
6173,1848889684.0,4.0,4.0,128.0,3.0,31.552725,-1.0,2.0,50.468986,1.0,-1.0,-1.0,0.0,42.427169,3.0,84.235442,0.0,0.59674,1.0,90.217177
1038,1848889689.0,3.0,2.0,138.0,7.0,21.95544,-1.0,-1.0,30.286336,0.0,1.0,1.0,1.0,32.459746,1.0,101.778106,1.0,5.26647,1.0,138.481021
1043,1848889695.0,4.0,2.0,151.0,2.0,8.692175,-1.0,3.0,92.40504,2.0,0.0,1.0,0.0,18.909562,3.0,25.88029,0.0,53.524294,1.0,100.749038
6174,1848889698.0,3.0,3.0,131.0,3.0,29.161248,-1.0,2.0,14.433574,2.0,0.0,-1.0,0.0,40.103609,1.0,89.499208,0.0,5.573345,1.0,218.871187
981,1848889704.0,4.0,4.0,93.0,4.0,67.443155,-1.0,4.0,16.767481,1.0,0.0,1.0,0.0,77.783706,3.0,71.886653,0.0,20.354619,1.0,15.846955
6175,1848889709.0,3.0,3.0,66.0,3.0,94.450104,-1.0,4.0,65.962597,2.0,0.0,-1.0,0.0,104.552686,4.0,7.696065,0.0,7.229803,1.0,57.788145
1077,1848889711.0,4.0,2.0,159.0,1.0,1.110726,-1.0,2.0,62.951923,1.0,0.0,1.0,0.0,11.346422,2.0,27.481924,0.0,89.197021,1.0,85.75804
1157,1848889714.0,4.0,4.0,156.0,-1.0,3.929156,-1.0,4.0,51.659021,1.0,0.0,1.0,0.0,14.648563,2.0,113.892005,0.0,38.058447,1.0,15.678307
1031,1848889717.0,4.0,3.0,121.0,8.0,38.944123,-1.0,2.0,73.375021,1.0,0.0,-1.0,0.0,49.077396,4.0,85.950163,0.0,8.9952,1.0,160.780353
6176,1848889723.0,4.0,2.0,34.0,3.0,126.434316,-1.0,3.0,12.460335,0.0,1.0,1.0,1.0,137.308183,3.0,113.629192,0.0,20.845268,1.0,108.977321
6177,1848889729.0,3.0,4.0,128.0,3.0,32.442607,-1.0,2.0,27.28908,1.0,0.0,-1.0,0.0,42.827844,1.0,18.257166,0.0,2.545846,0.0,26.991506
1158,1848889732.0,4.0,2.0,156.0,-1.0,3.654449,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.0,14.040727,2.0,51.938655,0.0,26.807028,1.0,133.73986
6178,1848889734.0,2.0,2.0,121.0,3.0,39.083075,-1.0,4.0,22.714211,1.0,0.0,1.0,0.0,49.528007,3.0,62.924378,1.0,20.234958,1.0,117.775163
1044,1848889739.0,3.0,2.0,155.0,2.0,5.33039,-1.0,3.0,16.213236,2.0,0.0,1.0,0.0,15.357996,3.0,51.369228,0.0,18.212982,1.0,147.966999
1045,1848889745.0,3.0,2.0,128.0,6.0,31.633194,-1.0,2.0,132.911051,1.0,0.0,1.0,0.0,42.390998,1.0,53.700056,0.0,20.076431,1.0,195.378571
1159,1848889747.0,2.0,2.0,140.0,-1.0,19.777921,-1.0,2.0,72.681166,1.0,0.0,1.0,0.0,30.427807,3.0,5.48811,-1.0,8.808007,1.0,205.065783
6179,1848889751.0,4.0,2.0,143.0,3.0,16.961296,-1.0,4.0,40.854572,1.0,0.0,1.0,0.0,27.559696,3.0,64.071778,0.0,19.190536,1.0,92.570466
997,1848889755.0,2.0,3.0,146.0,0.0,13.56673,-1.0,3.0,27.249271,1.0,0.0,1.0,0.0,23.586369,3.0,45.755688,0.0,25.354536,1.0,47.35149
1045,1848889759.0,2.0,3.0,138.0,2.0,22.105106,-1.0,3.0,66.177034,0.0,1.0,-1.0,1.0,32.135683,1.0,108.021845,0.0,0.762567,1.0,73.511536
6180,1848889763.0,2.0,3.0,119.0,3.0,40.527687,-1.0,3.0,55.973385,1.0,0.0,-1.0,0.0,50.765239,2.0,12.336752,0.0,17.503748,1.0,102.992095
982,1848889767.0,2.0,2.0,109.0,4.0,51.171199,-1.0,4.0,84.50553,1.0,0.0,-1.0,0.0,61.644423,3.0,70.07889,-1.0,35.802249,0.0,101.761061
1063,1848889773.0,3.0,2.0,145.0,9.0,15.146105,-1.0,2.0,62.325616,2.0,0.0,1.0,0.0,25.170855,4.0,73.637514,1.0,68.290076,1.0,158.086429
1078,1848889777.0,2.0,2.0,130.0,1.0,29.990557,-1.0,3.0,-1.0,1.0,0.0,1.0,0.0,40.817066,4.0,83.585774,1.0,44.158432,1.0,-1.0
1046,1848889781.0,3.0,2.0,118.0,2.0,41.53983,-1.0,3.0,4.455559,1.0,0.0,1.0,0.0,51.71943,4.0,22.105092,1.0,2.88659,1.0,69.586093
6181,1848889785.0,4.0,3.0,100.0,3.0,59.858958,-1.0,3.0,3.974633,2.0,0.0,0.0,0.0,70.191749,2.0,38.537496,0.0,9.932216,0.0,85.217958
1047,1848889787.0,2.0,4.0,134.0,2.0,26.036666,-1.0,2.0,9.86649,1.0,0.0,1.0,0.0,36.844913,3.0,40.303618,0.0,67.736029,1.0,151.339068
969,1848889791.0,-1.0,2.0,91.0,5.0,68.746484,-1.0,2.0,43.173988,1.0,0.0,1.0,0.0,79.313084,3.0,42.839085,0.0,21.86617,1.0,37.679396
6182,1848889796.0,2.0,2.0,158.0,3.0,1.607213,-1.0,2.0,105.436018,1.0,0.0,1.0,0.0,11.768122,3.0,44.492904,0.0,44.048777,1.0,57.972457
1039,1848889799.0,2.0,-1.0,151.0,7.0,8.859065,-1.0,2.0,2.549407,1.0,0.0,1.0,0.0,18.991239,1.0,63.313338,0.0,26.196826,1.0,79.156073
6183,1848889803.0,4.0,3.0,150.0,3.0,9.881531,-1.0,4.0,13.871342,2.0,-1.0,1.0,0.0,20.240825,2.0,39.721429,0.0,44.394057,1.0,167.930475
6184,1848889805.0,4.0,4.0,102.0,3.0,58.08646,-1.0,4.0,9.608233,0.0,1.0,0.0,1.0,69.030002,4.0,43.648895,0.0,22.181644,0.0,142.24882
983,1848889811.0,3.0,4.0,121.0,4.0,38.790347,-1.0,2.0,17.523033,1.0,0.0,-1.0,0.0,49.531907,1.0,23.914032,0.0,26.988075,1.0,152.753548
6185,1848889817.0,4.0,2.0,128.0,3.0,31.910688,-1.0,4.0,12.8325,0.0,1.0,1.0,1.0,42.47584,3.0,32.293068,0.0,9.377031,1.0,65.660312
1032,1848889821.0,2.0,3.0,109.0,8.0,51.030448,-1.0,3.0,148.737308,1.0,0.0,0.0,0.0,61.713628,3.0,12.902767,0.0,10.402316,0.0,178.606723
1160,1848889825.0,2.0,3.0,140.0,-1.0,20.302949,-1.0,2.0,14.897322,0.0,1.0,1.0,1.0,30.608338,4.0,13.377482,-1.0,46.800491,1.0,100.043615
6186,1848889827.0,4.0,4.0,40.0,3.0,120.245762,-1.0,2.0,16.779287,1.0,0.0,1.0,0.0,130.351475,3.0,60.273191,0.0,13.132008,-1.0,135.778833
6187,1848889832.0,3.0,2.0,132.0,3.0,27.640423,-1.0,3.0,55.709059,1.0,0.0,-1.0,0.0,37.986302,1.0,60.966851,0.0,21.048156,1.0,104.977898
6188,1848889836.0,2.0,4.0,101.0,3.0,59.390569,-1.0,3.0,55.260626,1.0,0.0,1.0,0.0,69.630085,1.0,57.782914,0.0,38.738694,-1.0,52.997296
6189,1848889842.0,4.0,4.0,138.0,3.0,22.416703,-1.0,2.0,101.248745,2.0,0.0,1.0,0.0,33.087819,3.0,31.722179,0.0,88.961518,1.0,183.924278
6190,1848889846.0,4.0,4.0,74.0,3.0,-1.0,-1.0,4.0,-1.0,1.0,0.0,1.0,0.0,-1.0,1.0,-1.0,0.0,62.123366,1.0,92.331154
6191,1848889850.0,2.0,2.0,74.0,3.0,-1.0,-1.0,4.0,32.041493,2.0,0.0,1.0,0.0,-1.0,3.0,31.477448,1.0,25.913028,1.0,190.390261
1161,1848889855.0,3.0,3.0,156.0,-1.0,3.588335,-1.0,-1.0,66.738458,1.0,0.0,1.0,0.0,14.443588,3.0,75.551462,0.0,48.643204,1.0,113.37421
1033,1848889861.0,2.0,4.0,38.0,8.0,121.671521,-1.0,3.0,-1.0,0.0,1.0,-1.0,1.0,131.75229,-1.0,26.384722,0.0,37.986975,0.0,15.15397
970,1848889863.0,2.0,2.0,121.0,5.0,38.933599,-1.0,4.0,-1.0,1.0,-1.0,1.0,0.0,49.201053,3.0,138.17094,0.0,26.094538,1.0,95.615442
6192,1848889865.0,2.0,3.0,150.0,3.0,9.972967,-1.0,4.0,44.989148,1.0,0.0,1.0,0.0,20.84368,4.0,43.526888,0.0,21.046683,-1.0,9.467965
1046,1848889870.0,2.0,3.0,142.0,6.0,17.859023,-1.0,3.0,30.736673,2.0,0.0,0.0,0.0,28.093769,3.0,23.605718,0.0,24.627285,0.0,278.946263
1162,1848889872.0,4.0,4.0,95.0,-1.0,65.491627,-1.0,2.0,65.882575,2.0,-1.0,1.0,0.0,76.282379,1.0,10.620513,0.0,14.664556,1.0,71.790209
1064,1848889878.0,4.0,4.0,103.0,9.0,56.618995,-1.0,2.0,77.915078,1.0,0.0,0.0,0.0,67.498351,1.0,134.876419,0.0,12.466006,0.0,56.324629
971,1848889881.0,2.0,3.0,92.0,5.0,68.484075,-1.0,3.0,92.998469,2.0,0.0,0.0,0.0,78.713978,1.0,29.55812,0.0,40.877058,0.0,45.971149
6193,1848889885.0,4.0,4.0,74.0,3.0,86.339226,-1.0,2.0,-1.0,2.0,0.0,1.0,0.0,97.134714,1.0,44.709426,0.0,14.382602,1.0,148.881013
1040,1848889889.0,3.0,2.0,122.0,7.0,38.186734,-1.0,2.0,128.470873,1.0,0.0,0.0,0.0,48.565675,3.0,90.912599,0.0,34.907814,0.0,138.711645
1048,1848889895.0,3.0,4.0,113.0,2.0,47.009859,-1.0,2.0,112.07584,1.0,0.0,0.0,0.0,57.987582,3.0,40.381673,0.0,13.79313,0.0,119.313466
984,1848889898.0,4.0,2.0,105.0,4.0,55.148176,-1.0,2.0,81.495108,0.0,1.0,-1.0,1.0,65.27715,3.0,7.748454,0.0,2.179931,1.0,46.513982
6194,1848889902.0,3.0,2.0,132.0,3.0,27.951666,-1.0,-1.0,80.071052,2.0,0.0,1.0,0.0,38.431073,-1.0,101.442985,0.0,34.87879,1.0,20.549351
6195,1848889904.0,2.0,4.0,59.0,3.0,101.053766,-1.0,2.0,11.02659,2.0,0.0,1.0,0.0,111.290672,3.0,3.490108,0.0,33.680918,1.0,220.994087
1034,1848889908.0,4.0,3.0,152.0,8.0,8.452862,-1.0,2.0,4.648733,1.0,-1.0,1.0,0.0,18.636557,2.0,-1.0,0.0,14.586651,1.0,111.158969
1041,1848889913.0,2.0,3.0,40.0,7.0,120.263411,-1.0,2.0,85.222895,1.0,0.0,1.0,0.0,130.980951,4.0,-1.0,0.0,67.92473,1.0,178.600368
1163,1848889918.0,4.0,3.0,144.0,-1.0,15.982599,-1.0,4.0,73.936934,1.0,0.0,1.0,0.0,26.730134,3.0,117.093266,0.0,18.217014,1.0,153.905622
985,1848889921.0,-1.0,2.0,105.0,4.0,54.860272,-1.0,3.0,65.848624,1.0,-1.0,1.0,0.0,65.513459,3.0,8.274095,0.0,0.137503,1.0,274.573997
6196,1848889924.0,3.0,4.0,118.0,3.0,42.088389,-1.0,-1.0,-1.0,1.0,0.0,1.0,0.0,52.934937,-1.0,40.407084,0.0,11.341463,1.0,162.735189
6197,1848889927.0,4.0,2.0,120.0,3.0,40.29209,-1.0,4.0,60.58293,0.0,1.0,1.0,1.0,51.080943,3.0,19.413646,1.0,48.343628,1.0,23.539216
972,1848889931.0,3.0,2.0,148.0,5.0,11.612458,-1.0,4.0,0.319963,1.0,0.0,1.0,0.0,22.58241,4.0,50.793148,1.0,89.304448,1.0,245.474177
1035,1848889937.0,3.0,2.0,48.0,8.0,111.514557,-1.0,3.0,3.891169,1.0,0.0,1.0,0.0,121.675085,3.0,34.470311,0.0,65.505233,1.0,51.755599
